네이밍,Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10,Board11,Board12,Board13,Board14,Board15,Board16,Board17,Board18,Board19,Board20,Board21,Board22,Board23,Board24,Board25,Board26,Board27,Board28
층수,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1
3별조건,88,84,104,98,100,72,112,96,92,108,50,92,78,94,110,104,96,94,110,106,128,74,82,98,66,40,92,92
2별조건,80,76,90,84,84,58,98,84,84,86,46,88,66,74,100,82,88,84,100,80,102,58,76,88,54,28,80,80
냥냥펀치,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,4,3,3,0,0,0,0,0,0
PL사이즈,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PL_X좌표,3,2,4,4,3,1,4,3,1,5,2,3,0,2,3,2,5,3,4,9,0,8,3,4,0,1,0,0
PL_Y좌표,3,5,6,6,3,7,3,6,3,5,3,3,0,5,5,5,3,7,5,7,10,3,7,4,5,8,5,5
PL_층,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CT사이즈,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CT_X좌표,6,7,6,6,6,8,6,6,1,6,6,6,4,7,5,7,5,8,5,0,0,6,6,8,9,5,7,8
CT_Y좌표,6,4,4,3,5,2,5,2,6,4,7,6,4,5,4,6,4,5,4,5,0,8,3,3,5,0,1,5
CT_층,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
