네이밍,Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10,Board11,Board12,Board13,Board14,Board15,Board16,Board17,Board18,Board19,Board20,Board21,Board22,Board23,Board24,Board25,Board26,Board27,Board28
계단사이즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,4,0,0,2,0,0,0
계단정보사이즈,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
계단인덱스,,,,,,,,,,,,,,,,,-1,,,-1,,-1,,,-1,,,
계단방향,,,,,,,,,,,,,,,,,위,,,위,,위,,,위,,,
계단_X좌표,,,,,,,,,,,,,,,,,4,,,5,,1,,,5,,,
계단_Y좌표,,,,,,,,,,,,,,,,,5,,,5,,1,,,6,,,
계단_층,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
계단인덱스,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
계단방향,,,,,,,,,,,,,,,,,아래,,,아래,,아래,,,아래,,,
계단_X좌표,,,,,,,,,,,,,,,,,4,,,5,,1,,,5,,,
계단_Y좌표,,,,,,,,,,,,,,,,,5,,,5,,1,,,6,,,
계단_층,,,,,,,,,,,,,,,,,2,,,2,,2,,,2,,,
계단인덱스,,,,,,,,,,,,,,,,,-2,,,-2,,-2,,,,,,
계단방향,,,,,,,,,,,,,,,,,위,,,위,,위,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,6,,,4,,6,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,5,,,4,,5,,,,,,
계단_층,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,,
계단방향,,,,,,,,,,,,,,,,,아래,,,아래,,아래,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,6,,,4,,6,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,5,,,4,,5,,,,,,
계단_층,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,위,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
